Jurisdiction,Year,Grade,AVG_scale_score
National public,2024,4,237
Alabama,,4,236
Alaska,,4,226
Arizona,,4,232
Arkansas,,4,230
California,,4,233
Colorado,,4,239
Connecticut,,4,239
Delaware,,4,233
District of Columbia,,4,231
DoDEA,,4,251
Florida,,4,243
Georgia,,4,236
Hawaii,,4,239
Idaho,,4,238
Illinois,,4,236
Indiana,,4,240
Iowa,,4,237
Kansas,,4,237
Kentucky,,4,238
Louisiana,,4,235
Maine,,4,233
Maryland,,4,234
Massachusetts,,4,246
Michigan,,4,235
Minnesota,,4,241
Mississippi,,4,239
Missouri,,4,235
Montana,,4,238
Nebraska,,4,238
Nevada,,4,233
New Hampshire,,4,242
New Jersey,,4,240
New Mexico,,4,224
New York,,4,234
North Carolina,,4,239
North Dakota,,4,241
Ohio,,4,239
Oklahoma,,4,233
Oregon,,4,229
Pennsylvania,,4,238
Rhode Island,,4,237
South Carolina,,4,238
South Dakota,,4,240
Tennessee,,4,240
Texas,,4,241
Utah,,4,242
Vermont,,4,235
Virginia,,4,238
Washington,,4,238
West Virginia,,4,232
Wisconsin,,4,239
Wyoming,,4,243
National public,2022,4,235
Alabama,,4,230
Alaska,,4,226
Arizona,,4,232
Arkansas,,4,228
California,,4,230
Colorado,,4,236
Connecticut,,4,236
Delaware,,4,226
District of Columbia,,4,223
DoDEA,,4,250
Florida,,4,241
Georgia,,4,235
Hawaii,,4,237
Idaho,,4,236
Illinois,,4,237
Indiana,,4,239
Iowa,,4,240
Kansas,,4,235
Kentucky,,4,234
Louisiana,,4,229
Maine,,4,233
Maryland,,4,229
Massachusetts,,4,242
Michigan,,4,232
Minnesota,,4,239
Mississippi,,4,234
Missouri,,4,232
Montana,,4,239
Nebraska,,4,242
Nevada,,4,229
New Hampshire,,4,239
New Jersey,,4,239
New Mexico,,4,221
New York,,4,227
North Carolina,,4,236
North Dakota,,4,240
Ohio,,4,238
Oklahoma,,4,229
Oregon,,4,228
Pennsylvania,,4,238
Rhode Island,,4,234
South Carolina,,4,234
South Dakota,,4,239
Tennessee,,4,236
Texas,,4,239
Utah,,4,240
Vermont,,4,234
Virginia,,4,236
Washington,,4,235
West Virginia,,4,226
Wisconsin,,4,240
Wyoming,,4,243
National public,2019,4,240
Alabama,,4,230
Alaska,,4,232
Arizona,,4,238
Arkansas,,4,233
California,,4,235
Colorado,,4,242
Connecticut,,4,243
Delaware,,4,239
District of Columbia,,4,235
DoDEA,,4,250
Florida,,4,246
Georgia,,4,238
Hawaii,,4,239
Idaho,,4,242
Illinois,,4,237
Indiana,,4,245
Iowa,,4,241
Kansas,,4,239
Kentucky,,4,239
Louisiana,,4,231
Maine,,4,241
Maryland,,4,239
Massachusetts,,4,247
Michigan,,4,236
Minnesota,,4,248
Mississippi,,4,241
Missouri,,4,238
Montana,,4,241
Nebraska,,4,244
Nevada,,4,236
New Hampshire,,4,245
New Jersey,,4,246
New Mexico,,4,231
New York,,4,237
North Carolina,,4,241
North Dakota,,4,243
Ohio,,4,241
Oklahoma,,4,237
Oregon,,4,236
Pennsylvania,,4,244
Rhode Island,,4,239
South Carolina,,4,237
South Dakota,,4,241
Tennessee,,4,240
Texas,,4,244
Utah,,4,244
Vermont,,4,239
Virginia,,4,247
Washington,,4,240
West Virginia,,4,231
Wisconsin,,4,242
Wyoming,,4,246
National public,2003,4,234
Alabama,,4,223
Alaska,,4,233
Arizona,,4,229
Arkansas,,4,229
California,,4,227
Colorado,,4,235
Connecticut,,4,241
Delaware,,4,236
District of Columbia,,4,205
DoDEA,,4,237
Florida,,4,234
Georgia,,4,230
Hawaii,,4,227
Idaho,,4,235
Illinois,,4,233
Indiana,,4,238
Iowa,,4,238
Kansas,,4,242
Kentucky,,4,229
Louisiana,,4,226
Maine,,4,238
Maryland,,4,233
Massachusetts,,4,242
Michigan,,4,236
Minnesota,,4,242
Mississippi,,4,223
Missouri,,4,235
Montana,,4,236
Nebraska,,4,236
Nevada,,4,228
New Hampshire,,4,243
New Jersey,,4,239
New Mexico,,4,223
New York,,4,236
North Carolina,,4,242
North Dakota,,4,238
Ohio,,4,238
Oklahoma,,4,229
Oregon,,4,236
Pennsylvania,,4,236
Rhode Island,,4,230
South Carolina,,4,236
South Dakota,,4,237
Tennessee,,4,228
Texas,,4,237
Utah,,4,235
Vermont,,4,242
Virginia,,4,239
Washington,,4,238
West Virginia,,4,231
Wisconsin,,4,237
Wyoming,,4,241
National public,2024,8,272
Alabama,,8,262
Alaska,,8,264
Arizona,,8,270
Arkansas,,8,266
California,,8,269
Colorado,,8,278
Connecticut,,8,277
Delaware,,8,263
District of Columbia,,8,262
DoDEA,,8,291
Florida,,8,267
Georgia,,8,269
Hawaii,,8,270
Idaho,,8,278
Illinois,,8,277
Indiana,,8,278
Iowa,,8,275
Kansas,,8,274
Kentucky,,8,271
Louisiana,,8,267
Maine,,8,273
Maryland,,8,268
Massachusetts,,8,283
Michigan,,8,270
Minnesota,,8,282
Mississippi,,8,269
Missouri,,8,270
Montana,,8,279
Nebraska,,8,280
Nevada,,8,265
New Hampshire,,8,280
New Jersey,,8,282
New Mexico,,8,256
New York,,8,271
North Carolina,,8,276
North Dakota,,8,280
Ohio,,8,279
Oklahoma,,8,264
Oregon,,8,268
Pennsylvania,,8,276
Rhode Island,,8,270
South Carolina,,8,268
South Dakota,,8,281
Tennessee,,8,276
Texas,,8,269
Utah,,8,282
Vermont,,8,276
Virginia,,8,275
Washington,,8,274
West Virginia,,8,261
Wisconsin,,8,283
Wyoming,,8,278
National public,2022,8,273
Alabama,,8,264
Alaska,,8,270
Arizona,,8,271
Arkansas,,8,267
California,,8,270
Colorado,,8,275
Connecticut,,8,276
Delaware,,8,264
District of Columbia,,8,260
DoDEA,,8,292
Florida,,8,271
Georgia,,8,271
Hawaii,,8,270
Idaho,,8,282
Illinois,,8,275
Indiana,,8,279
Iowa,,8,277
Kansas,,8,272
Kentucky,,8,269
Louisiana,,8,266
Maine,,8,273
Maryland,,8,269
Massachusetts,,8,284
Michigan,,8,273
Minnesota,,8,280
Mississippi,,8,266
Missouri,,8,272
Montana,,8,277
Nebraska,,8,279
Nevada,,8,269
New Hampshire,,8,279
New Jersey,,8,281
New Mexico,,8,259
New York,,8,274
North Carolina,,8,274
North Dakota,,8,278
Ohio,,8,276
Oklahoma,,8,264
Oregon,,8,270
Pennsylvania,,8,274
Rhode Island,,8,270
South Carolina,,8,269
South Dakota,,8,281
Tennessee,,8,272
Texas,,8,273
Utah,,8,282
Vermont,,8,276
Virginia,,8,279
Washington,,8,276
West Virginia,,8,260
Wisconsin,,8,281
Wyoming,,8,281
National public,2019,8,281
Alabama,,8,269
Alaska,,8,274
Arizona,,8,280
Arkansas,,8,274
California,,8,276
Colorado,,8,285
Connecticut,,8,286
Delaware,,8,277
District of Columbia,,8,269
DoDEA,,8,292
Florida,,8,279
Georgia,,8,279
Hawaii,,8,275
Idaho,,8,286
Illinois,,8,283
Indiana,,8,286
Iowa,,8,282
Kansas,,8,282
Kentucky,,8,278
Louisiana,,8,272
Maine,,8,282
Maryland,,8,280
Massachusetts,,8,294
Michigan,,8,280
Minnesota,,8,291
Mississippi,,8,274
Missouri,,8,281
Montana,,8,284
Nebraska,,8,285
Nevada,,8,274
New Hampshire,,8,287
New Jersey,,8,292
New Mexico,,8,269
New York,,8,280
North Carolina,,8,284
North Dakota,,8,286
Ohio,,8,286
Oklahoma,,8,276
Oregon,,8,280
Pennsylvania,,8,285
Rhode Island,,8,276
South Carolina,,8,276
South Dakota,,8,287
Tennessee,,8,280
Texas,,8,280
Utah,,8,285
Vermont,,8,287
Virginia,,8,287
Washington,,8,286
West Virginia,,8,272
Wisconsin,,8,289
Wyoming,,8,286
National public,2003,8,276
Alabama,,8,262
Alaska,,8,279
Arizona,,8,271
Arkansas,,8,266
California,,8,267
Colorado,,8,283
Connecticut,,8,284
Delaware,,8,277
District of Columbia,,8,243
DoDEA,,8,285
Florida,,8,271
Georgia,,8,270
Hawaii,,8,266
Idaho,,8,280
Illinois,,8,277
Indiana,,8,281
Iowa,,8,284
Kansas,,8,284
Kentucky,,8,274
Louisiana,,8,266
Maine,,8,282
Maryland,,8,278
Massachusetts,,8,287
Michigan,,8,276
Minnesota,,8,291
Mississippi,,8,261
Missouri,,8,279
Montana,,8,286
Nebraska,,8,282
Nevada,,8,268
New Hampshire,,8,286
New Jersey,,8,281
New Mexico,,8,263
New York,,8,280
North Carolina,,8,281
North Dakota,,8,287
Ohio,,8,282
Oklahoma,,8,272
Oregon,,8,281
Pennsylvania,,8,279
Rhode Island,,8,272
South Carolina,,8,277
South Dakota,,8,285
Tennessee,,8,268
Texas,,8,277
Utah,,8,281
Vermont,,8,286
Virginia,,8,282
Washington,,8,281
West Virginia,,8,271
Wisconsin,,8,284
Wyoming,,8,284
